id	gene	ortho_gene	score
483848	AT1G01010.1	GRMZM2G163914_T03	1
483848	AT1G01010.1	GRMZM2G163914_T02	1
474985	AT1G01040.1	GRMZM2G040762_T01	1
480211	AT1G01050.1	GRMZM2G061928_T03	1
480211	AT1G01050.1	GRMZM2G061928_T02	1
480211	AT1G01050.1	GRMZM2G026470_T01	1
480211	AT1G01050.1	GRMZM2G061928_T01	1
480211	AT1G01050.1	GRMZM2G104918_T02	0.883
480211	AT1G01050.1	GRMZM2G104918_T01	0.883
480211	AT1G01050.1	GRMZM2G104918_T03	0.883
480211	AT1G01050.1	GRMZM2G104918_T04	0.883
480211	AT1G01050.1	GRMZM2G061928_T04	0.583
481665	AT1G01060.1	GRMZM2G474769_T02	0.797
481665	AT1G01060.1	GRMZM2G474769_T01	1
481665	AT1G01060.1	GRMZM2G475611_T01	0.736
481665	AT1G01060.1	GRMZM2G475611_T02	0.561
481665	AT1G01060.1	GRMZM2G475611_T03	0.386
477267	AT1G01090.1	GRMZM2G033894_T01	1
483678	AT1G01100.1	GRMZM2G157443_T05	1
483678	AT1G01100.1	GRMZM2G157443_T02	1
483678	AT1G01100.1	GRMZM2G157443_T01	1
483678	AT1G01100.1	GRMZM2G032315_T01	0.875
480001	AT1G01110.1	GRMZM2G162020_T01	1
476952	AT1G01140.1	GRMZM2G051103_T01	1
476952	AT1G01140.1	GRMZM2G055575_T01	0.783
476952	AT1G01140.1	GRMZM2G055575_T02	0.542
476952	AT1G01140.1	GRMZM2G055575_T03	0.258
483923	AT1G01160.1	GRMZM2G154169_T01	1
483923	AT1G01160.1	GRMZM2G154169_T02	0.429
484160	AT1G01170.1	GRMZM2G145396_T02	1
484160	AT1G01170.1	GRMZM2G145396_T03	1
484160	AT1G01170.1	GRMZM2G145396_T01	1
475182	AT1G01220.1	GRMZM2G077780_T01	1
475182	AT1G01220.1	GRMZM2G077780_T02	0.504
480668	AT1G01225.1	GRMZM2G052474_T01	1
480668	AT1G01225.1	GRMZM2G124802_T01	0.825
481650	AT1G01230.1	GRMZM2G114911_T02	1
481650	AT1G01230.1	GRMZM2G151009_T01	0.929
479933	AT1G01260.1	GRMZM2G076636_T02	1
479933	AT1G01260.1	GRMZM2G076636_T01	1
479933	AT1G01260.1	GRMZM2G148723_T01	0.844
479933	AT1G01260.1	GRMZM2G303463_T01	0.552
482409	AT1G01290.1	GRMZM2G010238_T02	1
482409	AT1G01290.1	GRMZM2G010238_T01	1
478753	AT1G01300.1	GRMZM2G042008_T01	1
479612	AT1G01430.1	GRMZM2G131152_T01	1
483738	AT1G01490.1	GRMZM2G055704_T02	0.371
483738	AT1G01490.1	GRMZM2G055704_T01	1
476396	AT1G01510.1	GRMZM2G476107_T01	1
476396	AT1G01510.1	GRMZM2G022966_T01	0.44
476396	AT1G01510.1	GRMZM2G418294_T01	0.356
476396	AT1G01510.1	GRMZM2G476107_T02	0.312
484357	AT1G01530.1	GRMZM2G163335_T01	1
484357	AT1G01530.1	AC234185.1_FGT006	0.764
477515	AT1G01540.1	GRMZM2G014366_T02	1
477515	AT1G01540.1	GRMZM2G014366_T03	0.813
477515	AT1G01540.1	GRMZM2G317938_T01	0.59
476415	AT1G01600.1	GRMZM2G062151_T01	1
476415	AT1G01600.1	GRMZM2G020500_T01	0.55
476415	AT1G01600.1	GRMZM2G020500_T02	0.55
476415	AT1G01600.1	GRMZM2G020500_T03	0.55
478188	AT1G01620.1	AC209208.3_FGT002	1
478188	AT1G01620.1	GRMZM2G392975_T01	0.825
478188	AT1G01620.1	GRMZM2G392975_T02	0.825
478188	AT1G01620.1	GRMZM2G174807_T01	0.684
481696	AT1G01630.1	GRMZM2G089952_T01	1
477434	AT1G01650.1	GRMZM2G165351_T02	1
477434	AT1G01650.1	GRMZM2G165351_T01	0.587
481441	AT1G01710.1	GRMZM2G344476_T01	1
480529	AT1G01720.1	GRMZM2G014653_T02	1
480529	AT1G01720.1	GRMZM2G180328_T01	0.266
476382	AT1G01770.1	GRMZM2G161587_T02	1
476382	AT1G01770.1	GRMZM2G161587_T01	1
481390	AT1G01780.1	GRMZM2G170034_T01	1
481390	AT1G01780.1	GRMZM2G134752_T01	0.7
475440	AT1G01790.1	GRMZM2G093643_T01	1
475440	AT1G01790.1	GRMZM2G058948_T01	0.346
481781	AT1G01800.1	GRMZM2G168953_T02	0.464
481781	AT1G01800.1	GRMZM2G168953_T01	1
480453	AT1G01820.1	GRMZM2G077837_T03	1
480453	AT1G01820.1	GRMZM2G077837_T06	1
480453	AT1G01820.1	GRMZM2G077837_T02	1
480453	AT1G01820.1	GRMZM2G077837_T05	1
480453	AT1G01820.1	GRMZM2G077837_T01	0.804
480150	AT1G01860.1	GRMZM2G174669_T01	1
480150	AT1G01860.1	GRMZM2G174669_T02	0.86
480150	AT1G01860.1	GRMZM2G174669_T03	0.634
477982	AT1G01910.1	AC199782.5_FGT001	1
478089	AT1G01920.1	GRMZM2G078458_T01	1
478089	AT1G01920.1	GRMZM2G078458_T03	1
478089	AT1G01920.1	GRMZM2G078458_T02	0.977
478089	AT1G01920.1	GRMZM2G078458_T05	0.386
478089	AT1G01920.1	GRMZM2G078458_T06	0.386
478235	AT1G01930.1	GRMZM2G106881_T01	1
482793	AT1G01940.1	GRMZM2G397044_T01	1
482793	AT1G01940.1	GRMZM2G118687_T02	0.682
474965	AT1G01960.1	GRMZM2G058870_T01	1
480559	AT1G01970.1	GRMZM2G137064_T01	1
477584	AT1G02000.1	GRMZM2G017678_T01	1
477584	AT1G02000.1	GRMZM2G170336_T01	0.416
477084	AT1G02020.1	GRMZM2G467466_T01	1
478636	AT1G02050.1	GRMZM2G380650_T02	1
478636	AT1G02050.1	GRMZM2G380650_T01	0.937
478636	AT1G02050.1	GRMZM2G477683_T01	0.863
479514	AT1G02060.1	GRMZM2G096665_T01	1
484672	AT1G02070.1	GRMZM2G157982_T01	1
484672	AT1G02070.1	GRMZM2G047128_T01	1
480833	AT1G02090.1	GRMZM2G171745_T03	1
480833	AT1G02090.1	GRMZM2G171745_T01	1
480833	AT1G02090.1	GRMZM2G171745_T02	0.978
480833	AT1G02090.1	GRMZM2G085670_T05	0.792
480833	AT1G02090.1	GRMZM2G085670_T01	0.792
480833	AT1G02090.1	GRMZM2G171745_T04	0.775
480833	AT1G02090.1	GRMZM2G085670_T04	0.764
480833	AT1G02090.1	GRMZM2G085670_T02	0.562
478823	AT1G02100.1	GRMZM2G168299_T01	1
478823	AT1G02100.1	GRMZM2G168299_T02	1
476419	AT1G02110.1	GRMZM2G163189_T01	1
476419	AT1G02110.1	GRMZM2G125513_T01	0.88
476419	AT1G02110.1	GRMZM2G125513_T02	0.604
476419	AT1G02110.1	GRMZM2G163189_T02	0.34
479847	AT1G02120.1	GRMZM2G158248_T01	1
479847	AT1G02120.1	GRMZM2G158248_T02	0.456
479847	AT1G02120.1	GRMZM2G135038_T01	0.434
480246	AT1G02130.1	GRMZM2G097728_T03	1
480246	AT1G02130.1	GRMZM2G097728_T02	1
480246	AT1G02130.1	GRMZM2G037204_T02	0.944
480246	AT1G02130.1	GRMZM2G097746_T02	0.944
480246	AT1G02130.1	GRMZM2G097746_T01	0.694
480246	AT1G02130.1	GRMZM2G037204_T01	0.611
481874	AT1G02140.1	GRMZM2G000560_T01	1
481874	AT1G02140.1	GRMZM2G000560_T02	0.338
479379	AT1G02150.1	GRMZM2G076950_T01	1
477691	AT1G02170.1	GRMZM2G035928_T01	1
477691	AT1G02170.1	GRMZM2G155422_T01	0.774
483872	AT1G02180.1	GRMZM2G075775_T01	1
483872	AT1G02180.1	GRMZM2G075775_T02	0.483
476223	AT1G02205.1	GRMZM2G066578_T01	1
477131	AT1G02260.1	GRMZM2G028521_T04	1
477131	AT1G02260.1	GRMZM2G028521_T02	0.904
477131	AT1G02260.1	GRMZM2G028521_T03	0.513
477131	AT1G02260.1	GRMZM2G060742_T03	0.494
477131	AT1G02260.1	GRMZM2G060742_T04	0.494
477131	AT1G02260.1	GRMZM2G060742_T02	0.494
477131	AT1G02260.1	GRMZM2G060742_T01	0.494
477131	AT1G02260.1	GRMZM2G347174_T02	0.462
480457	AT1G02300.1	GRMZM2G108849_T01	1
480457	AT1G02305.1	GRMZM2G108849_T01	1
481278	AT1G02330.1	GRMZM2G015902_T01	1
480996	AT1G02400.1	GRMZM2G078798_T03	1
480996	AT1G02400.1	AC215639.3_FGT002	0.724
480996	AT1G02400.1	GRMZM2G078798_T04	0.573
480996	AT1G02400.1	GRMZM2G078798_T02	0.351
480996	AT1G02400.1	GRMZM2G176963_T01	0.25
481090	AT1G02410.1	GRMZM2G059981_T01	1
478415	AT1G02420.1	GRMZM2G464510_T01	1
477811	AT1G02460.1	GRMZM2G170388_T01	1
477811	AT1G02460.1	GRMZM2G026804_T01	0.756
476432	AT1G02500.1	GRMZM2G117198_T02	1
476432	AT1G02500.1	GRMZM2G117198_T01	1
476432	AT1G02500.1	GRMZM2G061135_T02	0.905
476432	AT1G02500.1	GRMZM2G061135_T01	0.905
